id_these,id_hackaton,Places
ENCPOS_1878_09,h1946,la France
ENCPOS_1878_09,h1946,Allemagne
ENCPOS_1878_10,h2368,Ponant
ENCPOS_1878_11,h2463,Lyonnais
ENCPOS_1878_11,h2463,XIIIe
ENCPOS_1878_11,h2463,XIVe siècles
ENCPOS_1878_13,h2589,Narbonne
ENCPOS_1878_13,h2589,Moyen
ENCPOS_1879_01,h0394,hôtel royal de Saint-Pol
ENCPOS_1879_01,h0394,Paris
ENCPOS_1879_02,h1109,de France
ENCPOS_1879_02,h1109,Angleterre
ENCPOS_1879_05,h1688,Suisses
ENCPOS_1879_05,h1688,États
ENCPOS_1879_05,h1688,Juin 1512
ENCPOS_1879_07,h2468,La Provence
ENCPOS_1880_01,h0624,Grands Jours de Troyes
ENCPOS_1880_02,h0714,Saint-Spire
ENCPOS_1880_02,h0714,Corbeil
ENCPOS_1880_04,h1078,Orléans
ENCPOS_1880_04,h1078,XIIe-XVIIIe
ENCPOS_1880_08,h2005,Reims
ENCPOS_1880_09,h2263,Paris
ENCPOS_1880_10,h2468,La Provence
ENCPOS_1880_11,h2722,Conon
ENCPOS_1880_11,h2722,Béthune
ENCPOS_1881_01,h0184,ducs de Normandie
ENCPOS_1881_02,h0692,Dieppe
ENCPOS_1881_03,h0918,Moyen
ENCPOS_1881_05,h1202,Gaule
ENCPOS_1881_07,h1393,Toulouse
ENCPOS_1881_07,h1393,Moyen
ENCPOS_1881_07,h1393,XIVe
ENCPOS_1881_08,h1402,Notre-Dame de Paris
ENCPOS_1881_09,h1459,Saint-Germain-des-Prés
ENCPOS_1881_09,h1459,Paris
ENCPOS_1881_09,h1459,abbaye de Saint-Germain-des-Prés
ENCPOS_1881_09,h1459,XIVe
ENCPOS_1881_09,h1459,XVe siècles
ENCPOS_1881_10,h1513,Longueville
ENCPOS_1881_12,h2597,XVe siècle
ENCPOS_1881_13,h3097,Bohême
ENCPOS_1882_01,h0229,XIVe
ENCPOS_1882_01,h0229,Étude
ENCPOS_1882_01,h0229,Saint-Esprit-en-Grève
ENCPOS_1882_01,h0229,Paris
ENCPOS_1882_02,h0393,Université de Caen
ENCPOS_1882_02,h0393,Angleterre
ENCPOS_1882_03,h1459,Marseille
ENCPOS_1882_04,h1877,Orléans
ENCPOS_1882_05,h2261,Gaule
ENCPOS_1882_06,h2262,Paris
ENCPOS_1882_07,h2774,Gênes
ENCPOS_1883_01,h0008,Gellone
ENCPOS_1883_02,h0042,Auvergne
ENCPOS_1883_03,h0270,duché d'Athènes
ENCPOS_1883_03,h0270,Argos
ENCPOS_1883_04,h0453,Paris
ENCPOS_1883_04,h0453,XVe siècle
ENCPOS_1883_05,h0636,Vaudémont
ENCPOS_1883_07,h0759,Temple de Paris
ENCPOS_1883_08,h0819,Paris
ENCPOS_1883_09,h1026,Vosges
ENCPOS_1883_11,h1231,Châtelet de Paris
ENCPOS_1883_11,h1231,Paris
ENCPOS_1883_13,h1895,Isle-Adam
ENCPOS_1883_15,h2122,Brion
ENCPOS_1883_17,h2767,Franche
ENCPOS_1883_18,h2774,Gênes
ENCPOS_1884_02,h0270,duché d'Athènes
ENCPOS_1884_02,h0270,Argos
ENCPOS_1884_03,h0368,Bourgogne
ENCPOS_1884_04,h0448,la France
ENCPOS_1884_04,h0448,XIIIe
ENCPOS_1884_04,h0448,XIVe
ENCPOS_1884_05,h0546,Limoges
ENCPOS_1884_05,h0546,Creuse
ENCPOS_1884_05,h0546,Corrèze
ENCPOS_1884_05,h0546,Haute-Vienne
ENCPOS_1884_07,h1106,Auvergne
ENCPOS_1884_08,h1458,Lyonnais
ENCPOS_1884_08,h1458,Forez
ENCPOS_1884_08,h1458,Beaujolais
ENCPOS_1884_09,h1805,Mézières
ENCPOS_1884_10,h1925,Laon
ENCPOS_1884_11,h1978,Saint-Claude
ENCPOS_1884_13,h2562,Lorris
ENCPOS_1884_14,h2734,Lendit
ENCPOS_1885_01,h0008,Gellone
ENCPOS_1885_02,h0075,Chartres
ENCPOS_1885_07,h1011,Gascogne
ENCPOS_1885_08,h1050,Lorraine
ENCPOS_1885_08,h1050,Bar
ENCPOS_1885_08,h1050,XIVe
ENCPOS_1885_08,h1050,XVe siècle
ENCPOS_1885_09,h1222,la France
ENCPOS_1885_12,h1583,collège d'Autun
ENCPOS_1885_12,h1583,XIVe-XVIIIe
ENCPOS_1885_14,h1814,Île-de-France
ENCPOS_1885_14,h1814,Normandie
ENCPOS_1885_15,h1894,Soissons
ENCPOS_1885_17,h2109,Commercy
ENCPOS_1885_18,h2209,Troyes
ENCPOS_1886_01,h0031,Bourgogne
ENCPOS_1886_02,h0146,Catalogne
ENCPOS_1886_03,h0179,Monographie
ENCPOS_1886_03,h0179,église Saint-Nizier
ENCPOS_1886_03,h0179,Lyon
ENCPOS_1886_04,h0338,XVe siècle
ENCPOS_1886_05,h0478,Béarn 
ENCPOS_1886_05,h0478,XVe siècle
ENCPOS_1886_06,h0715,Bel
ENCPOS_1886_07,h1214,Écorcheurs
ENCPOS_1886_07,h1214,Bourgogne
ENCPOS_1886_08,h1281,Vincennes
ENCPOS_1886_10,h1583,collège d
ENCPOS_1886_10,h1583,XIVe-XVIIIe
ENCPOS_1886_11,h1900,Noyon
ENCPOS_1886_12,h1865,de France
ENCPOS_1886_14,h2209,Troyes
ENCPOS_1886_18,h2934,Montreuil
ENCPOS_1887_01,h0328,Douai
ENCPOS_1887_02,h0744,Hôtel-Dieu
ENCPOS_1887_02,h0744,Paris
ENCPOS_1887_02,h0744,Moyen
ENCPOS_1887_04,h0973,Agen
ENCPOS_1887_05,h1011,Guyenne
ENCPOS_1887_08,h1601,de France
ENCPOS_1887_10,h1717,États souverains de Basse-Navarre
ENCPOS_1887_12,h1814,Île-de-France
ENCPOS_1887_12,h1814,Normandie
ENCPOS_1887_14,h2704,Perche
ENCPOS_1887_16,h2951,Monographie
ENCPOS_1887_16,h2951,cathédrale de Séez
ENCPOS_1887_17,h3070,Mâcon
ENCPOS_1888_01,h0318,Bourgogne
ENCPOS_1888_02,h0328,Douai
ENCPOS_1888_04,h0973,Agen
ENCPOS_1888_06,h1053,Chambre des monnaies
ENCPOS_1888_08,h1611,la France
ENCPOS_1888_08,h1611,Angleterre
ENCPOS_1888_10,h1696,hôpital Notre-Dame
ENCPOS_1888_10,h1696,lez-Seclin
ENCPOS_1888_10,h1696,Nord
ENCPOS_1888_11,h3167,Reims
ENCPOS_1888_12,h2859,Calais
ENCPOS_1888_13,h2934,Montreuil
ENCPOS_1889_01,h0059,de France
ENCPOS_1889_01,h0059,Suisses
ENCPOS_1889_02,h0141,Paris
ENCPOS_1889_03,h0899,Flandre
ENCPOS_1889_03,h0899,Flandre française
ENCPOS_1889_03,h0899,la France
ENCPOS_1889_05,h1068,Amiens
ENCPOS_1889_05,h1068,Arras
ENCPOS_1889_05,h1068,Thérouanne
ENCPOS_1889_06,h1935,Portugal
ENCPOS_1889_06,h1935,Açores
ENCPOS_1889_08,h2311,Alsace
ENCPOS_1889_10,h2526,Tuchins
ENCPOS_1889_12,h2652,Flandre
ENCPOS_1889_12,h2652,Chambre des comptes de Lille
ENCPOS_1889_13,h2849,diocèse de
ENCPOS_1889_13,h2849,Beauvais
ENCPOS_1889_14,h2850,Reims
ENCPOS_1889_15,h2958,abbaye de Saint-Maur-des-Fossés
ENCPOS_1890_01,h0235,Saint-Brieuc
ENCPOS_1890_02,h0288,XIVe
ENCPOS_1890_03,h0650,Berry
ENCPOS_1890_04,h1461,Normandie
ENCPOS_1890_05,h1711,XVe siècle
ENCPOS_1890_06,h1719,sire de
ENCPOS_1890_06,h1719,Coucy
ENCPOS_1890_06,h1719,Soissons
ENCPOS_1890_07,h2007,Carolingiens
ENCPOS_1890_08,h2157,Renaissance
ENCPOS_1890_08,h2157,Maine
ENCPOS_1890_09,h2161,France
ENCPOS_1890_09,h2161,XVIe  
ENCPOS_1890_11,h2492,Angers
ENCPOS_1890_12,h2502,Saint-Esprit
ENCPOS_1890_13,h2625,Angleterre
ENCPOS_1890_13,h2625,Hertford
ENCPOS_1890_13,h2625,Suffolk
ENCPOS_1890_13,h2625,Norfolk
ENCPOS_1890_14,h2740,Anjou
ENCPOS_1890_14,h2740,Provence
ENCPOS_1890_15,h2958,abbaye de Saint-Maur-des-Fossés
ENCPOS_1890_15,h2958,Saint-Eloi
ENCPOS_1890_16,h2965,Picardie
ENCPOS_1890_18,h3086,Languedoc
ENCPOS_1891_01,h0438,Bourbonnais
ENCPOS_1891_04,h1140,de France
ENCPOS_1891_06,h2180,Chartres
ENCPOS_1891_06,h2180,Châteaudun
ENCPOS_1891_06,h2180,Blois
ENCPOS_1891_06,h2180,Troyes
ENCPOS_1891_07,h2740,Anjou
ENCPOS_1891_07,h2740,Provence
ENCPOS_1891_08,h2839,roi de France
ENCPOS_1892_03,h0731,vicomte souverain de Béarn
ENCPOS_1892_04,h0755,Chambre des comptes de Blois
ENCPOS_1892_05,h0853,Avignon
ENCPOS_1892_08,h1823,département du Calvados
ENCPOS_1892_09,h1942,Orléans
ENCPOS_1892_10,h2043,Albi
ENCPOS_1892_10,h2043,Puy
ENCPOS_1892_11,h2398,Ossalois
ENCPOS_1892_12,h2981,de France
ENCPOS_1892_12,h2981,Allemagne
ENCPOS_1893_01,h0039,Troyes
ENCPOS_1893_02,h0641,Langres
ENCPOS_1893_02,h0641,XVe siècle
ENCPOS_1893_03,h0718,Ier
ENCPOS_1893_06,h1559,église Sainte-Madeleine de Troyes
ENCPOS_1893_07,h2429,Berry
ENCPOS_1893_10,h2855,Blois
ENCPOS_1894_01,h0606,Poitou
ENCPOS_1894_01,h0606,Saintonge
ENCPOS_1894_01,h0606,Angoumois
ENCPOS_1894_01,h0606,Trêves
ENCPOS_1894_01,h0606,Guyenne
ENCPOS_1894_04,h1642,Meaux
ENCPOS_1894_07,h2043,Haute-Garonne
ENCPOS_1894_09,h2557,Franche
ENCPOS_1894_10,h3009,Caen
ENCPOS_1894_10,h3009,Caen
ENCPOS_1895_02,h0382,Clermont-en-Beauvaisis
ENCPOS_1895_04,h0917,Mans
ENCPOS_1895_04,h0917,Tours
ENCPOS_1895_05,h1076,Douai
ENCPOS_1895_05,h1076,XVe siècle
ENCPOS_1895_06,h1372,Sedan
ENCPOS_1895_08,h1874,Hôtel-Dieu
ENCPOS_1895_08,h1874,Coutances
ENCPOS_1895_09,h2450,abbaye Saint-Pierre
ENCPOS_1895_09,h2450,Corbie
ENCPOS_1895_09,h2450,XVe siècle
ENCPOS_1895_10,h2635,Montbéliard
ENCPOS_1895_10,h2635,Xe
ENCPOS_1896_01,h1607,Chambre des comptes de ses origines à la fin du XIVe siècle
ENCPOS_1896_02,h1817,Artois
ENCPOS_1896_02,h1817,Artois
ENCPOS_1896_04,h2542,Lusignan
ENCPOS_1896_05,h2746,département de l'Allier
ENCPOS_1896_06,h2763,diocèse de
ENCPOS_1896_08,h2963,abbaye de Longchamp
ENCPOS_1896_08,h2963,XIIIe
ENCPOS_1896_08,h2963,XVIIe
ENCPOS_1897_03,h1002,Paris
ENCPOS_1897_05,h1722,Lymoges
ENCPOS_1897_07,h2069,Avignon
ENCPOS_1897_08,h2112,France
ENCPOS_1897_08,h2112,XVIIe
ENCPOS_1897_09,h2141,Blanches Mains
ENCPOS_1897_11,h2364,Noyon
ENCPOS_1897_11,h2364,XVe siècle
ENCPOS_1898_03,h0507,Collège de Montaigu
ENCPOS_1898_03,h0507,Paris
ENCPOS_1898_04,h0768,de France
ENCPOS_1898_05,h0877,prévôté de Paris
ENCPOS_1898_10,h1969,Corbie
ENCPOS_1898_13,h2543,Rouergue
ENCPOS_1898_14,h2559,roi de Navarre
ENCPOS_1898_14,h2559,la France
ENCPOS_1898_15,h2795,Mendoza
ENCPOS_1898_15,h2795,Espagne
ENCPOS_1898_15,h2795,XVe siècle
ENCPOS_1898_16,h3050,Saint-Benoît-sur-Loire
ENCPOS_1899_02,h1114,Saint-Martin-des-Champs
ENCPOS_1899_02,h1114,XIVe
ENCPOS_1899_02,h1114,XVe siècles
ENCPOS_1899_04,h1545,Reims
ENCPOS_1899_04,h1545,XIIe
ENCPOS_1899_05,h1772,Chartres
ENCPOS_1899_06,h1786,abbaye de
ENCPOS_1899_06,h1786,Saint-Martial
ENCPOS_1899_06,h1786,Limoges
ENCPOS_1899_07,h1954,Occident
ENCPOS_1899_08,h1862,Vivarais
ENCPOS_1899_09,h2029,la France
ENCPOS_1899_11,h2356,Normandie
ENCPOS_1899_12,h2539,royaume de Provence
ENCPOS_1899_13,h2587,Collège des Cholets
ENCPOS_1899_15,h2874,de France
ENCPOS_1900_01,h0242,Inde
ENCPOS_1900_01,h0242,Le général Lally
ENCPOS_1900_03,h0492,Catalogne
ENCPOS_1900_05,h0869,Cambrésis
ENCPOS_1900_05,h0869,comtes de
ENCPOS_1900_05,h0869,Flandre
ENCPOS_1900_05,h0869,Cambrai
ENCPOS_1900_06,h0945,la France
ENCPOS_1900_06,h0945,Angleterre
ENCPOS_1900_07,h1072,diocèse de
ENCPOS_1900_08,h1157,de France
ENCPOS_1900_08,h1157,Turquie
ENCPOS_1900_10,h1279,XIVe siècles
ENCPOS_1900_11,h1465,Senlis
ENCPOS_1900_12,h1825,Saint-Gervais
ENCPOS_1900_12,h1825,XVIIe siècle
ENCPOS_1900_13,h2090,duché de Nemours
ENCPOS_1900_14,h2505,Luxeuil
ENCPOS_1900_15,h2815,de France
ENCPOS_1900_16,h3064,Vexin normand de 911
ENCPOS_1900_17,h3068,Hôtel-Dieu
ENCPOS_1900_17,h3068,XVIIe siècle
ENCPOS_1901_01,h0205,Reims
ENCPOS_1901_03,h0433,Laon
ENCPOS_1901_05,h1228,nantes
ENCPOS_1901_05,h1228,XVIIe
ENCPOS_1901_05,h1228,XVIIIe
ENCPOS_1901_06,h1233,Saint-Martin-des-Champs
ENCPOS_1901_06,h1233,Paris
ENCPOS_1901_08,h1316,abbaye de Sainte-Geneviève
ENCPOS_1901_08,h1316,Paris
ENCPOS_1901_09,h1802,abbaye de Molesme
ENCPOS_1901_09,h1802,évêché de Langres
ENCPOS_1901_09,h1802,XIe-XIIIe siècles
ENCPOS_1901_10,h1923,Chartres
ENCPOS_1901_11,h1967,abbaye de Marmoutier
ENCPOS_1901_12,h2199,Suisse
ENCPOS_1901_13,h2405,Saintonge
ENCPOS_1901_13,h2405,Aunis
ENCPOS_1901_13,h2405,La Rochelle
ENCPOS_1901_14,h2464,Auxerre
ENCPOS_1901_16,h2776,Armagnac
ENCPOS_1901_16,h2776,XVe siècle
ENCPOS_1902_02,h0778,Antilles
ENCPOS_1902_03,h1314,Bourgogne
ENCPOS_1902_03,h1314,Arras
ENCPOS_1902_04,h1404,Moyen
ENCPOS_1902_05,h1454,Franche
ENCPOS_1902_05,h1454,XIVe
ENCPOS_1902_06,h1571,Paris
ENCPOS_1902_07,h1684,Portugal
ENCPOS_1902_07,h1684,XVIIe
ENCPOS_1902_09,h1851,forêt de Retz
ENCPOS_1902_11,h2431,Angleterre
ENCPOS_1902_12,h2552,forêt de Roumare
ENCPOS_1903_01,h0105,Bourgogne
