,Places,latitude,longitude
333,Harfleur,49.5075158,0.200141
334,Haut-Dauphiné,47.815585,7.316629681146576
335,Haut-Maine,47.150343449999994,-0.423740369520669
336,Haut-Poitou,44.7779286,-0.0573366
337,Haut-Quercy,47.75409275,7.382761263278928
338,Haut-Vivarais,45.0631997,4.6195609726312155
339,Haute-Alsace,48.342338,5.6495335
340,Haute-Auvergne,46.1160194,1.4851136
341,Haute-Bretagne,47.3882121,0.7683854
342,Haute-Garonne,43.305454600000004,0.9716791701901577
343,Haute-Marne,48.1329414,5.252910789751933
344,Haute-Normandie,49.371126950000004,1.0260549717759164
345,Haute-Vienne,45.91901925,1.203176771876291
346,Hawaii,19.58726775,-155.42688965312746
349,Hertford,51.7957409,-0.078521
350,Hetzel,37.860938,-81.877621
351,Hollande,52.55270795,4.831577956975391
352,Honfleur,49.4197222,0.2338889
357,Ille-Et-Vilaine,48.17276805,-1.6498092420681134
360,Inde,22.3511148,78.6677428
363,Isle-Adam,53.3308414,6.925997357922031
364,Italie,42.6384261,12.674297
366,Jersey,49.2214561,-2.1358386
369,Jura,46.783362499999996,5.783285726354901
370,Jérusalem,31.79592425,35.21198075969497
371,Kervélégan,48.7931915,-3.4705547
372,L'Espagne,43.7501932,0.5516407
373,L'Europe,48.4548311,-2.0590025
375,L'Italie,45.760831,-1.0948848
376,Labourd,43.48603730000001,-1.4750580511427902
377,Lagarde,48.6917992,6.7077121
378,Landes,44.00996945,-0.6433872354467377
379,Langres,47.8655638,5.3314162
380,Languedoc,48.807574,-78.6959527
381,Laon,49.564665,3.620686
382,Latere,44.0993396,11.3314267
383,Lauragais,43.5157798,1.5522893
384,Lausanne,46.5218269,6.6327025
385,Lefèvre,60.5400554,-145.7412938
386,Leicester,52.6361398,-1.1330789
387,Leipzig,51.3406321,12.3747329
388,Lemozi,43.5288405,1.3438238
389,Lendit,49.5678022,2.7961975
390,Lens,50.4291723,2.8319805
392,Lez-Seclin,50.4763778,3.2154623
395,Libye,26.8234472,18.1236723
397,Ligue,49.3958495,-1.5037867
398,Lille,50.6365654,3.0635282
399,Limoges,45.8354243,1.2644847
400,Limousin,45.7175403,1.7406933
401,Lisieux,49.1460831,0.2255168
402,Livradois,45.5398305,3.7974514
403,Locarno,46.1695112,8.7954217
404,Loire,45.75385355,4.045473682551104
405,Lomagne,43.8817933,0.9875923
406,Longlée,48.1667595,0.4736503
407,Longueville,50.7318957,1.8791461
408,Lons-Le-Saunier,46.6727037,5.5589973
409,Lorgues,43.4929987,6.3600329
410,Lorient,47.7477336,-3.3660907
411,Lorraine,48.71557405,6.142460196100687
412,Lorris,47.8895393,2.5157503
413,Lusignan,46.4351549,0.1223765
414,Luxembourg,49.8158683,6.1296751
415,Luxeuil,47.817177,6.3808865
417,Lyon,45.7578137,4.8320114
419,Léman,46.361350200000004,6.393266006377704
420,Lérida,41.6147605,0.6267842
421,Macao,22.1757605,113.5514142
422,Madrid,40.4167047,-3.7035825
423,Maillebois,48.6282679,1.148971
424,Maine,45.709097,-68.8590201
425,Maine-Et-Loire,47.38863045,-0.3909097146387368
427,Malesherbes,48.2865494,2.3972819567297945
428,Manche,49.091895199999996,-1.2454952394090721
430,Manosque,43.8338026,5.7826657
431,Mans,48.0073849,0.1967849
432,Mantes,43.1467407,-0.3189166
433,Mantoue,45.1692628,10.670836515673878
434,Mariale,-33.0199306,-58.5132048
435,Marle,49.74,3.7713889
436,Marly,50.3500747,3.5435909
437,Marmoutier,48.6904394,7.381985
438,Maroc,31.1728205,-7.3362482
439,Marseille,43.2961743,5.3699525
440,Martinique,14.6367927,-61.01582685063731
443,Maurepas,49.9905624,2.8478956
444,Mayence,50.0012314,8.2762513
445,Meaux,48.9582708,2.8773541
446,Melle,44.54763345,7.309759422961077
447,Melun,48.539927,2.6608169
448,Mende,44.5180226,3.4991057
449,Mendoza,-34.787093049999996,-68.43818677312292
450,Menne,51.5212342,9.1210912
451,Metz,49.1196964,6.1763552
453,Millau,44.1006693,3.0777594
454,Mirecourt,48.3005302,6.1312974
456,Moissac,44.1050886,1.0846682
457,Monein,43.3211151,-0.5786974
458,Mont-Cassin,-41.8415265,171.7666463
460,Mont-Glonne,47.7015706,3.3615643
461,Montauban,44.0175835,1.3549991
462,Montbrison,45.6072875,4.0627318
463,Montbéliard,47.5102368,6.7977564
464,Montfaucon,48.957,3.42498
465,Montferrand,43.364438,1.8208365
467,Montier-En-Der,48.4894016,4.791764761666667
468,Montlaur,43.4887773,1.5703
469,Montmartre,48.8867054,2.3415715
470,Montorgueil,46.777379,-1.4797341
471,Montpellier,43.6112422,3.8767337
472,Montreuil,50.4638918,1.7631125
473,Morbihan,47.825981150000004,-2.7633492695588253
474,Morvan,47.0972134,4.081644216205483
475,Morée,47.9015941,1.2378026
477,Moyen-Poitou,44.9382562,1.0117563
478,Mutations,46.1035304,7.0777097
479,Mâcon,46.3036683,4.8322266
480,Méditerranée,-26.9251106,-49.06367555339537
482,Mézières,46.678377,6.9264097
483,Najac,44.2201877,1.9809309
484,Nancy,48.6937223,6.1834097
485,Nantais,47.5901016,-1.3202084
486,Nantes,47.2186371,-1.5541362
487,Naples,40.8359336,14.2487826
488,Narbonne,43.1837661,3.0042121
489,Navarre,42.61254875,-1.830787673361753
491,Neuchâtel,46.9895828,6.9292641
492,Neuchâtel-Le-Lac,46.9895828,6.9292641
493,Neufchâteau,48.3553014,5.6948571
494,Neuwiller-Lès-Saverne,48.8245602,7.4048703
495,Nevers,46.9876601,3.1577203
496,Nice,43.7009358,7.2683912
498,Nord,50.52896715,3.0883523694464854
499,Norfolk,52.6735891,0.9532018866187124
500,Normandie,49.0677708,0.3138532
501,Norvège,60.5000209,9.0999715
503,Notre-Dame,41.704567749999995,-86.23822026017265
505,Notre-Dame-De-Bayeux,49.275587,-0.703680750000007
506,Notre-Dame-Des-Prés,48.2883983,4.0425511
507,Notre-Dame-Des-Victoires,39.146730950000006,117.18886287554798
509,Noyon,49.5805561,3.0000288
510,Nîmes,43.8374249,4.3600687
514,Oise,49.41205455,2.406487846905477
515,Oratoire,46.904816800000006,4.485261763513515
517,Orléanais,49.749001,0.3702018374869974
518,Orléans,47.9027336,1.9086066
519,Orne,48.57605325,0.04466171759588161
521,Ozias,39.1874282,20.1896634
522,Pacifique,48.6841652,2.1938802
523,Padoue,45.4077172,11.8734455
526,Palladio,18.0765281,-65.8023327
527,Pamiers,43.1147515,1.6082177
528,Pampelune,42.8184538,-1.6442556
529,Pardiac,43.546820999999994,0.21239305085723795
530,Paris,48.8566969,2.3514616
532,Parisis,48.6886878,2.5125796
533,Pau,43.2957547,-0.3685668
535,Pays-Bas,52.5001698,5.7480821
536,Perche,46.644866,2.5726883
537,Perrette,44.154944,0.3542808
538,Petit-Caux,49.9613613,1.2592728536242959
539,Philippines,12.7503486,122.7312101
540,Photographes,46.202443,6.1597808
542,Picardie,49.601756,2.871633889975323
543,Picquigny,49.9443256,2.1418065
544,Pins,43.7852778,0.7119444
